,x,y,z1,z2
0,9121,12420.666666666672,1100.0,297000.0
1,74804,12386.816666666666,1224.7999999999884,341280.0
2,184747,12352.966666666674,1349.6000000000058,385560.0
3,228735,12319.116666666669,1474.3999999999942,429840.0
4,238968,12285.266666666663,1599.1999999999825,474120.0
5,238968,12251.416666666672,1724.0,518400.0
6,247152,12217.566666666666,1848.7999999999884,562680.0
7,255324,12183.716666666674,1973.6000000000058,606960.0
8,265842,12149.866666666669,2098.399999999994,651240.0
9,270642,12116.016666666663,2223.1999999999825,695520.0
10,289391,12082.166666666672,2348.0,739800.0
